primary_type,hour,weekday,count
ARSON,0,Friday,0
ARSON,0,Monday,0
ARSON,0,Saturday,0
ARSON,0,Sunday,0
ARSON,0,Thursday,0
ARSON,0,Tuesday,0
ARSON,0,Wednesday,0
ARSON,1,Friday,0
ARSON,1,Monday,0
ARSON,1,Saturday,0
ARSON,1,Sunday,0
ARSON,1,Thursday,0
ARSON,1,Tuesday,0
ARSON,1,Wednesday,0
ARSON,2,Friday,0
ARSON,2,Monday,0
ARSON,2,Saturday,0
ARSON,2,Sunday,0
ARSON,2,Thursday,0
ARSON,2,Tuesday,0
ARSON,2,Wednesday,0
ARSON,3,Friday,0
ARSON,3,Monday,0
ARSON,3,Saturday,0
ARSON,3,Sunday,0
ARSON,3,Thursday,0
ARSON,3,Tuesday,0
ARSON,3,Wednesday,0
ARSON,4,Friday,0
ARSON,4,Monday,0
ARSON,4,Saturday,0
ARSON,4,Sunday,0
ARSON,4,Thursday,0
ARSON,4,Tuesday,0
ARSON,4,Wednesday,0
ARSON,5,Friday,0
ARSON,5,Monday,0
ARSON,5,Saturday,0
ARSON,5,Sunday,0
ARSON,5,Thursday,0
ARSON,5,Tuesday,0
ARSON,5,Wednesday,0
ARSON,6,Friday,0
ARSON,6,Monday,0
ARSON,6,Saturday,0
ARSON,6,Sunday,0
ARSON,6,Thursday,0
ARSON,6,Tuesday,0
ARSON,6,Wednesday,0
ARSON,7,Friday,0
ARSON,7,Monday,0
ARSON,7,Saturday,0
ARSON,7,Sunday,0
ARSON,7,Thursday,0
ARSON,7,Tuesday,0
ARSON,7,Wednesday,0
ARSON,8,Friday,0
ARSON,8,Monday,0
ARSON,8,Saturday,0
ARSON,8,Sunday,0
ARSON,8,Thursday,0
ARSON,8,Tuesday,0
ARSON,8,Wednesday,0
ARSON,9,Friday,0
ARSON,9,Monday,0
ARSON,9,Saturday,0
ARSON,9,Sunday,0
ARSON,9,Thursday,0
ARSON,9,Tuesday,0
ARSON,9,Wednesday,0
ARSON,10,Friday,0
ARSON,10,Monday,0
ARSON,10,Saturday,0
ARSON,10,Sunday,0
ARSON,10,Thursday,0
ARSON,10,Tuesday,0
ARSON,10,Wednesday,0
ARSON,11,Friday,0
ARSON,11,Monday,0
ARSON,11,Saturday,0
ARSON,11,Sunday,0
ARSON,11,Thursday,0
ARSON,11,Tuesday,0
ARSON,11,Wednesday,0
ARSON,12,Friday,0
ARSON,12,Monday,0
ARSON,12,Saturday,0
ARSON,12,Sunday,0
ARSON,12,Thursday,0
ARSON,12,Tuesday,0
ARSON,12,Wednesday,0
ARSON,13,Friday,0
ARSON,13,Monday,0
ARSON,13,Saturday,0
ARSON,13,Sunday,0
ARSON,13,Thursday,0
ARSON,13,Tuesday,0
ARSON,13,Wednesday,0
ARSON,14,Friday,0
ARSON,14,Monday,0
ARSON,14,Saturday,0
ARSON,14,Sunday,0
ARSON,14,Thursday,0
ARSON,14,Tuesday,0
ARSON,14,Wednesday,0
ARSON,15,Friday,0
ARSON,15,Monday,0
ARSON,15,Saturday,0
ARSON,15,Sunday,0
ARSON,15,Thursday,0
ARSON,15,Tuesday,0
ARSON,15,Wednesday,0
ARSON,16,Friday,0
ARSON,16,Monday,0
ARSON,16,Saturday,0
ARSON,16,Sunday,0
ARSON,16,Thursday,0
ARSON,16,Tuesday,0
ARSON,16,Wednesday,0
ARSON,17,Friday,0
ARSON,17,Monday,0
ARSON,17,Saturday,0
ARSON,17,Sunday,0
ARSON,17,Thursday,0
ARSON,17,Tuesday,0
ARSON,17,Wednesday,0
ARSON,18,Friday,0
ARSON,18,Monday,0
ARSON,18,Saturday,0
ARSON,18,Sunday,0
ARSON,18,Thursday,0
ARSON,18,Tuesday,0
ARSON,18,Wednesday,0
ARSON,19,Friday,0
ARSON,19,Monday,0
ARSON,19,Saturday,0
ARSON,19,Sunday,0
ARSON,19,Thursday,0
ARSON,19,Tuesday,0
ARSON,19,Wednesday,0
ARSON,20,Friday,0
ARSON,20,Monday,0
ARSON,20,Saturday,0
ARSON,20,Sunday,0
ARSON,20,Thursday,0
ARSON,20,Tuesday,0
ARSON,20,Wednesday,0
ARSON,21,Friday,0
ARSON,21,Monday,0
ARSON,21,Saturday,0
ARSON,21,Sunday,0
ARSON,21,Thursday,0
ARSON,21,Tuesday,0
ARSON,21,Wednesday,0
ARSON,22,Friday,0
ARSON,22,Monday,0
ARSON,22,Saturday,0
ARSON,22,Sunday,0
ARSON,22,Thursday,0
ARSON,22,Tuesday,0
ARSON,22,Wednesday,0
ARSON,23,Friday,0
ARSON,23,Monday,0
ARSON,23,Saturday,0
ARSON,23,Sunday,0
ARSON,23,Thursday,0
ARSON,23,Tuesday,0
ARSON,23,Wednesday,0
ASSAULT,0,Friday,2014
ASSAULT,0,Monday,2153
ASSAULT,0,Saturday,2637
ASSAULT,0,Sunday,2610
ASSAULT,0,Thursday,1988
ASSAULT,0,Tuesday,2032
ASSAULT,0,Wednesday,1998
ASSAULT,1,Friday,1467
ASSAULT,1,Monday,1499
ASSAULT,1,Saturday,2057
ASSAULT,1,Sunday,2189
ASSAULT,1,Thursday,1307
ASSAULT,1,Tuesday,1386
ASSAULT,1,Wednesday,1272
ASSAULT,2,Friday,1164
ASSAULT,2,Monday,1118
ASSAULT,2,Saturday,1900
ASSAULT,2,Sunday,2064
ASSAULT,2,Thursday,1137
ASSAULT,2,Tuesday,992
ASSAULT,2,Wednesday,1021
ASSAULT,3,Friday,793
ASSAULT,3,Monday,785
ASSAULT,3,Saturday,1438
ASSAULT,3,Sunday,1775
ASSAULT,3,Thursday,766
ASSAULT,3,Tuesday,683
ASSAULT,3,Wednesday,732
ASSAULT,4,Friday,614
ASSAULT,4,Monday,615
ASSAULT,4,Saturday,1137
ASSAULT,4,Sunday,1322
ASSAULT,4,Thursday,564
ASSAULT,4,Tuesday,548
ASSAULT,4,Wednesday,537
ASSAULT,5,Friday,630
ASSAULT,5,Monday,557
ASSAULT,5,Saturday,811
ASSAULT,5,Sunday,882
ASSAULT,5,Thursday,544
ASSAULT,5,Tuesday,550
ASSAULT,5,Wednesday,600
ASSAULT,6,Friday,802
ASSAULT,6,Monday,710
ASSAULT,6,Saturday,793
ASSAULT,6,Sunday,884
ASSAULT,6,Thursday,811
